"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -9.96629507925E-001, +0.00000000000E+000
+1.00500000000E+009, -9.87326350253E-001, +0.00000000000E+000
+1.01000000000E+009, -9.70546835733E-001, +0.00000000000E+000
+1.01500000000E+009, -9.68034917804E-001, +0.00000000000E+000
+1.02000000000E+009, -9.58951036652E-001, +0.00000000000E+000
+1.02500000000E+009, -9.50980846304E-001, +0.00000000000E+000
+1.03000000000E+009, -9.38076975964E-001, +0.00000000000E+000
+1.03500000000E+009, -9.28542069090E-001, +0.00000000000E+000
+1.04000000000E+009, -9.26242892509E-001, +0.00000000000E+000
+1.04500000000E+009, -9.15598809415E-001, +0.00000000000E+000
+1.05000000000E+009, -9.07126499530E-001, +0.00000000000E+000
+1.05500000000E+009, -8.99347822103E-001, +0.00000000000E+000
+1.06000000000E+009, -8.88371168280E-001, +0.00000000000E+000
+1.06500000000E+009, -8.82565002145E-001, +0.00000000000E+000
+1.07000000000E+009, -8.75375038037E-001, +0.00000000000E+000
+1.07500000000E+009, -8.69357709650E-001, +0.00000000000E+000
+1.08000000000E+009, -8.58722747768E-001, +0.00000000000E+000
+1.08500000000E+009, -8.48260467147E-001, +0.00000000000E+000
+1.09000000000E+009, -8.42372078741E-001, +0.00000000000E+000
+1.09500000000E+009, -8.35181786035E-001, +0.00000000000E+000
+1.10000000000E+009, -8.22639722930E-001, +0.00000000000E+000
+1.10500000000E+009, -8.17296955213E-001, +0.00000000000E+000
+1.11000000000E+009, -8.09280857197E-001, +0.00000000000E+000
+1.11500000000E+009, -7.98780314446E-001, +0.00000000000E+000
+1.12000000000E+009, -7.89887277639E-001, +0.00000000000E+000
+1.12500000000E+009, -7.84770162938E-001, +0.00000000000E+000
+1.13000000000E+009, -7.72150615166E-001, +0.00000000000E+000
+1.13500000000E+009, -7.67141111408E-001, +0.00000000000E+000
+1.14000000000E+009, -7.57323056475E-001, +0.00000000000E+000
+1.14500000000E+009, -7.53844747518E-001, +0.00000000000E+000
+1.15000000000E+009, -7.42502365880E-001, +0.00000000000E+000
+1.15500000000E+009, -7.32809777126E-001, +0.00000000000E+000
+1.16000000000E+009, -7.27775036132E-001, +0.00000000000E+000
+1.16500000000E+009, -7.21233683681E-001, +0.00000000000E+000
+1.17000000000E+009, -7.05791619400E-001, +0.00000000000E+000
+1.17500000000E+009, -7.04010048355E-001, +0.00000000000E+000
+1.18000000000E+009, -6.97398987438E-001, +0.00000000000E+000
+1.18500000000E+009, -6.87929545101E-001, +0.00000000000E+000
+1.19000000000E+009, -6.69534492933E-001, +0.00000000000E+000
+1.19500000000E+009, -6.63567045393E-001, +0.00000000000E+000
+1.20000000000E+009, -6.55363577592E-001, +0.00000000000E+000
+1.20500000000E+009, -6.49420852873E-001, +0.00000000000E+000
+1.21000000000E+009, -6.36768376280E-001, +0.00000000000E+000
+1.21500000000E+009, -6.30289680295E-001, +0.00000000000E+000
+1.22000000000E+009, -6.23998490266E-001, +0.00000000000E+000
+1.22500000000E+009, -6.17856232189E-001, +0.00000000000E+000
+1.23000000000E+009, -6.04175485732E-001, +0.00000000000E+000
+1.23500000000E+009, -5.98306545907E-001, +0.00000000000E+000
+1.24000000000E+009, -5.91336093766E-001, +0.00000000000E+000
+1.24500000000E+009, -5.82945994718E-001, +0.00000000000E+000
+1.25000000000E+009, -5.78562748313E-001, +0.00000000000E+000
+1.25500000000E+009, -5.71272281155E-001, +0.00000000000E+000
+1.26000000000E+009, -5.64895746890E-001, +0.00000000000E+000
+1.26500000000E+009, -5.52270314820E-001, +0.00000000000E+000
+1.27000000000E+009, -5.46539944032E-001, +0.00000000000E+000
+1.27500000000E+009, -5.39939095212E-001, +0.00000000000E+000
+1.28000000000E+009, -5.26934566442E-001, +0.00000000000E+000
+1.28500000000E+009, -5.20694647248E-001, +0.00000000000E+000
+1.29000000000E+009, -5.14589442442E-001, +0.00000000000E+000
+1.29500000000E+009, -5.09235124737E-001, +0.00000000000E+000
+1.30000000000E+009, -4.99976577081E-001, +0.00000000000E+000
+1.30500000000E+009, -4.92281394635E-001, +0.00000000000E+000
+1.31000000000E+009, -4.88455440443E-001, +0.00000000000E+000
+1.31500000000E+009, -4.77390314638E-001, +0.00000000000E+000
+1.32000000000E+009, -4.73321650922E-001, +0.00000000000E+000
+1.32500000000E+009, -4.66636564796E-001, +0.00000000000E+000
+1.33000000000E+009, -4.64634098449E-001, +0.00000000000E+000
+1.33500000000E+009, -4.55849673721E-001, +0.00000000000E+000
+1.34000000000E+009, -4.55184108639E-001, +0.00000000000E+000
+1.34500000000E+009, -4.46420132408E-001, +0.00000000000E+000
+1.35000000000E+009, -4.41594188225E-001, +0.00000000000E+000
+1.35500000000E+009, -4.39466223901E-001, +0.00000000000E+000
+1.36000000000E+009, -4.36325326409E-001, +0.00000000000E+000
+1.36500000000E+009, -4.34292907555E-001, +0.00000000000E+000
+1.37000000000E+009, -4.22701063079E-001, +0.00000000000E+000
+1.37500000000E+009, -4.19841683985E-001, +0.00000000000E+000
+1.38000000000E+009, -4.18306108408E-001, +0.00000000000E+000
+1.38500000000E+009, -4.16411788614E-001, +0.00000000000E+000
+1.39000000000E+009, -4.14067743930E-001, +0.00000000000E+000
+1.39500000000E+009, -4.14342725221E-001, +0.00000000000E+000
+1.40000000000E+009, -4.10282627350E-001, +0.00000000000E+000
+1.40500000000E+009, -4.08002270356E-001, +0.00000000000E+000
+1.41000000000E+009, -4.06956332206E-001, +0.00000000000E+000
+1.41500000000E+009, -4.05682968595E-001, +0.00000000000E+000
+1.42000000000E+009, -4.02486325767E-001, +0.00000000000E+000
+1.42500000000E+009, -3.99994479124E-001, +0.00000000000E+000
+1.43000000000E+009, -3.97425636132E-001, +0.00000000000E+000
+1.43500000000E+009, -3.92722183620E-001, +0.00000000000E+000
+1.44000000000E+009, -3.97700076897E-001, +0.00000000000E+000
+1.44500000000E+009, -3.94042516954E-001, +0.00000000000E+000
+1.45000000000E+009, -3.90138426218E-001, +0.00000000000E+000
+1.45500000000E+009, -3.90071197115E-001, +0.00000000000E+000
+1.46000000000E+009, -3.89434460019E-001, +0.00000000000E+000
+1.46500000000E+009, -3.87492196414E-001, +0.00000000000E+000
+1.47000000000E+009, -3.86770293288E-001, +0.00000000000E+000
+1.47500000000E+009, -3.86157323716E-001, +0.00000000000E+000
+1.48000000000E+009, -3.84128346593E-001, +0.00000000000E+000
+1.48500000000E+009, -3.82058459253E-001, +0.00000000000E+000
+1.49000000000E+009, -3.82894364138E-001, +0.00000000000E+000
+1.49500000000E+009, -3.85142811380E-001, +0.00000000000E+000
+1.50000000000E+009, -3.87328646171E-001, +0.00000000000E+000
+1.50500000000E+009, -3.81356706714E-001, +0.00000000000E+000
+1.51000000000E+009, -3.86483889815E-001, +0.00000000000E+000
+1.51500000000E+009, -3.87839635543E-001, +0.00000000000E+000
+1.52000000000E+009, -3.86822601490E-001, +0.00000000000E+000
+1.52500000000E+009, -3.84451686605E-001, +0.00000000000E+000
+1.53000000000E+009, -3.90101797713E-001, +0.00000000000E+000
