"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -9.56279354492E+000, +0.00000000000E+000
+1.00500000000E+009, -9.62958527972E+000, +0.00000000000E+000
+1.01000000000E+009, -9.71028733399E+000, +0.00000000000E+000
+1.01500000000E+009, -9.77910120360E+000, +0.00000000000E+000
+1.02000000000E+009, -9.85963403876E+000, +0.00000000000E+000
+1.02500000000E+009, -9.94251314147E+000, +0.00000000000E+000
+1.03000000000E+009, -1.00149097552E+001, +0.00000000000E+000
+1.03500000000E+009, -1.01167135781E+001, +0.00000000000E+000
+1.04000000000E+009, -1.01796465790E+001, +0.00000000000E+000
+1.04500000000E+009, -1.02740331374E+001, +0.00000000000E+000
+1.05000000000E+009, -1.03512250654E+001, +0.00000000000E+000
+1.05500000000E+009, -1.04510796082E+001, +0.00000000000E+000
+1.06000000000E+009, -1.05292059186E+001, +0.00000000000E+000
+1.06500000000E+009, -1.06247619041E+001, +0.00000000000E+000
+1.07000000000E+009, -1.07229969376E+001, +0.00000000000E+000
+1.07500000000E+009, -1.08297899044E+001, +0.00000000000E+000
+1.08000000000E+009, -1.09085836381E+001, +0.00000000000E+000
+1.08500000000E+009, -1.10153414806E+001, +0.00000000000E+000
+1.09000000000E+009, -1.11012461749E+001, +0.00000000000E+000
+1.09500000000E+009, -1.12080035729E+001, +0.00000000000E+000
+1.10000000000E+009, -1.13024919803E+001, +0.00000000000E+000
+1.10500000000E+009, -1.14131854931E+001, +0.00000000000E+000
+1.11000000000E+009, -1.15224503444E+001, +0.00000000000E+000
+1.11500000000E+009, -1.16362854941E+001, +0.00000000000E+000
+1.12000000000E+009, -1.17517085020E+001, +0.00000000000E+000
+1.12500000000E+009, -1.18553499906E+001, +0.00000000000E+000
+1.13000000000E+009, -1.19963028181E+001, +0.00000000000E+000
+1.13500000000E+009, -1.20991179892E+001, +0.00000000000E+000
+1.14000000000E+009, -1.22342236820E+001, +0.00000000000E+000
+1.14500000000E+009, -1.23600291325E+001, +0.00000000000E+000
+1.15000000000E+009, -1.24898794982E+001, +0.00000000000E+000
+1.15500000000E+009, -1.26199549120E+001, +0.00000000000E+000
+1.16000000000E+009, -1.27432476192E+001, +0.00000000000E+000
+1.16500000000E+009, -1.28964313768E+001, +0.00000000000E+000
+1.17000000000E+009, -1.30379263788E+001, +0.00000000000E+000
+1.17500000000E+009, -1.31748509462E+001, +0.00000000000E+000
+1.18000000000E+009, -1.33382781428E+001, +0.00000000000E+000
+1.18500000000E+009, -1.34899075773E+001, +0.00000000000E+000
+1.19000000000E+009, -1.36484694595E+001, +0.00000000000E+000
+1.19500000000E+009, -1.38107450060E+001, +0.00000000000E+000
+1.20000000000E+009, -1.39773110804E+001, +0.00000000000E+000
+1.20500000000E+009, -1.41393350692E+001, +0.00000000000E+000
+1.21000000000E+009, -1.43028644691E+001, +0.00000000000E+000
+1.21500000000E+009, -1.44665460144E+001, +0.00000000000E+000
+1.22000000000E+009, -1.46626837661E+001, +0.00000000000E+000
+1.22500000000E+009, -1.48164955298E+001, +0.00000000000E+000
+1.23000000000E+009, -1.50571287110E+001, +0.00000000000E+000
+1.23500000000E+009, -1.52249681481E+001, +0.00000000000E+000
+1.24000000000E+009, -1.53889766923E+001, +0.00000000000E+000
+1.24500000000E+009, -1.56249847469E+001, +0.00000000000E+000
+1.25000000000E+009, -1.58106989558E+001, +0.00000000000E+000
+1.25500000000E+009, -1.60604519930E+001, +0.00000000000E+000
+1.26000000000E+009, -1.62716612601E+001, +0.00000000000E+000
+1.26500000000E+009, -1.64698606194E+001, +0.00000000000E+000
+1.27000000000E+009, -1.67202272708E+001, +0.00000000000E+000
+1.27500000000E+009, -1.69785683210E+001, +0.00000000000E+000
+1.28000000000E+009, -1.72376289414E+001, +0.00000000000E+000
+1.28500000000E+009, -1.75009161409E+001, +0.00000000000E+000
+1.29000000000E+009, -1.77393001072E+001, +0.00000000000E+000
+1.29500000000E+009, -1.80383572970E+001, +0.00000000000E+000
+1.30000000000E+009, -1.83300352277E+001, +0.00000000000E+000
+1.30500000000E+009, -1.86457733211E+001, +0.00000000000E+000
+1.31000000000E+009, -1.89152271847E+001, +0.00000000000E+000
+1.31500000000E+009, -1.92797067181E+001, +0.00000000000E+000
+1.32000000000E+009, -1.95937868733E+001, +0.00000000000E+000
+1.32500000000E+009, -1.98913354258E+001, +0.00000000000E+000
+1.33000000000E+009, -2.02743899793E+001, +0.00000000000E+000
+1.33500000000E+009, -2.06015430262E+001, +0.00000000000E+000
+1.34000000000E+009, -2.09939805027E+001, +0.00000000000E+000
+1.34500000000E+009, -2.14033908145E+001, +0.00000000000E+000
+1.35000000000E+009, -2.18305081393E+001, +0.00000000000E+000
+1.35500000000E+009, -2.22647432592E+001, +0.00000000000E+000
+1.36000000000E+009, -2.26570397358E+001, +0.00000000000E+000
+1.36500000000E+009, -2.30202296778E+001, +0.00000000000E+000
+1.37000000000E+009, -2.36466423223E+001, +0.00000000000E+000
+1.37500000000E+009, -2.41485473769E+001, +0.00000000000E+000
+1.38000000000E+009, -2.47002142667E+001, +0.00000000000E+000
+1.38500000000E+009, -2.51849744583E+001, +0.00000000000E+000
+1.39000000000E+009, -2.58501497389E+001, +0.00000000000E+000
+1.39500000000E+009, -2.65139312056E+001, +0.00000000000E+000
+1.40000000000E+009, -2.72383921328E+001, +0.00000000000E+000
+1.40500000000E+009, -2.80044678887E+001, +0.00000000000E+000
+1.41000000000E+009, -2.86222274030E+001, +0.00000000000E+000
+1.41500000000E+009, -2.95759523840E+001, +0.00000000000E+000
+1.42000000000E+009, -3.05517999142E+001, +0.00000000000E+000
+1.42500000000E+009, -3.14714149646E+001, +0.00000000000E+000
+1.43000000000E+009, -3.28392958254E+001, +0.00000000000E+000
+1.43500000000E+009, -3.38312547610E+001, +0.00000000000E+000
+1.44000000000E+009, -3.41743782957E+001, +0.00000000000E+000
+1.44500000000E+009, -3.50046129514E+001, +0.00000000000E+000
+1.45000000000E+009, -3.54656266399E+001, +0.00000000000E+000
+1.45500000000E+009, -3.55078163686E+001, +0.00000000000E+000
+1.46000000000E+009, -3.49125105417E+001, +0.00000000000E+000
+1.46500000000E+009, -3.41461713596E+001, +0.00000000000E+000
+1.47000000000E+009, -3.33219599273E+001, +0.00000000000E+000
+1.47500000000E+009, -3.23364671619E+001, +0.00000000000E+000
+1.48000000000E+009, -3.13674294428E+001, +0.00000000000E+000
+1.48500000000E+009, -3.05634202950E+001, +0.00000000000E+000
+1.49000000000E+009, -2.95513133032E+001, +0.00000000000E+000
+1.49500000000E+009, -2.88185493882E+001, +0.00000000000E+000
+1.50000000000E+009, -2.80637761763E+001, +0.00000000000E+000
+1.50500000000E+009, -2.73243144299E+001, +0.00000000000E+000
+1.51000000000E+009, -2.68790750376E+001, +0.00000000000E+000
+1.51500000000E+009, -2.61146822213E+001, +0.00000000000E+000
+1.52000000000E+009, -2.55818509535E+001, +0.00000000000E+000
+1.52500000000E+009, -2.51619814138E+001, +0.00000000000E+000
+1.53000000000E+009, -2.46344591051E+001, +0.00000000000E+000
+1.53500000000E+009, -2.42026861178E+001, +0.00000000000E+000
+1.54000000000E+009, -2.37293464817E+001, +0.00000000000E+000
+1.54500000000E+009, -2.33261101948E+001, +0.00000000000E+000
+1.55000000000E+009, -2.28806429698E+001, +0.00000000000E+000
+1.55500000000E+009, -2.25321230044E+001, +0.00000000000E+000
+1.56000000000E+009, -2.21821062792E+001, +0.00000000000E+000
+1.56500000000E+009, -2.19120764989E+001, +0.00000000000E+000
+1.57000000000E+009, -2.15817859820E+001, +0.00000000000E+000
+1.57500000000E+009, -2.12289573392E+001, +0.00000000000E+000
