"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.20568070298E+001, +0.00000000000E+000
+1.00500000000E+009, -1.21616681749E+001, +0.00000000000E+000
+1.01000000000E+009, -1.22740120182E+001, +0.00000000000E+000
+1.01500000000E+009, -1.23681955156E+001, +0.00000000000E+000
+1.02000000000E+009, -1.24863084566E+001, +0.00000000000E+000
+1.02500000000E+009, -1.26095471621E+001, +0.00000000000E+000
+1.03000000000E+009, -1.27096474685E+001, +0.00000000000E+000
+1.03500000000E+009, -1.28466425895E+001, +0.00000000000E+000
+1.04000000000E+009, -1.29339431985E+001, +0.00000000000E+000
+1.04500000000E+009, -1.30561140654E+001, +0.00000000000E+000
+1.05000000000E+009, -1.31696350839E+001, +0.00000000000E+000
+1.05500000000E+009, -1.32921764428E+001, +0.00000000000E+000
+1.06000000000E+009, -1.34049625311E+001, +0.00000000000E+000
+1.06500000000E+009, -1.35333378742E+001, +0.00000000000E+000
+1.07000000000E+009, -1.36681138870E+001, +0.00000000000E+000
+1.07500000000E+009, -1.38168009515E+001, +0.00000000000E+000
+1.08000000000E+009, -1.39078684969E+001, +0.00000000000E+000
+1.08500000000E+009, -1.40662523089E+001, +0.00000000000E+000
+1.09000000000E+009, -1.41821500433E+001, +0.00000000000E+000
+1.09500000000E+009, -1.43156064883E+001, +0.00000000000E+000
+1.10000000000E+009, -1.44639750168E+001, +0.00000000000E+000
+1.10500000000E+009, -1.45947525758E+001, +0.00000000000E+000
+1.11000000000E+009, -1.47511388081E+001, +0.00000000000E+000
+1.11500000000E+009, -1.49219079191E+001, +0.00000000000E+000
+1.12000000000E+009, -1.50669189930E+001, +0.00000000000E+000
+1.12500000000E+009, -1.52196327363E+001, +0.00000000000E+000
+1.13000000000E+009, -1.54106831765E+001, +0.00000000000E+000
+1.13500000000E+009, -1.55590194763E+001, +0.00000000000E+000
+1.14000000000E+009, -1.57509890299E+001, +0.00000000000E+000
+1.14500000000E+009, -1.59289309599E+001, +0.00000000000E+000
+1.15000000000E+009, -1.61116975261E+001, +0.00000000000E+000
+1.15500000000E+009, -1.62881885558E+001, +0.00000000000E+000
+1.16000000000E+009, -1.64757990473E+001, +0.00000000000E+000
+1.16500000000E+009, -1.66763137468E+001, +0.00000000000E+000
+1.17000000000E+009, -1.68618384264E+001, +0.00000000000E+000
+1.17500000000E+009, -1.70460641139E+001, +0.00000000000E+000
+1.18000000000E+009, -1.72793098765E+001, +0.00000000000E+000
+1.18500000000E+009, -1.74977494223E+001, +0.00000000000E+000
+1.19000000000E+009, -1.77082218219E+001, +0.00000000000E+000
+1.19500000000E+009, -1.79450505956E+001, +0.00000000000E+000
+1.20000000000E+009, -1.81730249347E+001, +0.00000000000E+000
+1.20500000000E+009, -1.84137145402E+001, +0.00000000000E+000
+1.21000000000E+009, -1.86397780323E+001, +0.00000000000E+000
+1.21500000000E+009, -1.88707631461E+001, +0.00000000000E+000
+1.22000000000E+009, -1.92022505354E+001, +0.00000000000E+000
+1.22500000000E+009, -1.93967371883E+001, +0.00000000000E+000
+1.23000000000E+009, -1.97497395891E+001, +0.00000000000E+000
+1.23500000000E+009, -2.00407602251E+001, +0.00000000000E+000
+1.24000000000E+009, -2.02784452408E+001, +0.00000000000E+000
+1.24500000000E+009, -2.06478168543E+001, +0.00000000000E+000
